state,total_deaths
Abia,220.0
Adamawa,3750.0
Akwa Ibom,383.0
Anambra,473.0
Bauchi,342.0
Bayelsa,380.0
Benue,3376.0
Borno,31676.0
Cross River,636.0
Delta,681.0
Diffa,1328.0
Ebonyi,498.0
Edo,469.0
Ekiti,129.0
Enugu,210.0
Extrême-Nord,2020.0
Federal Capital Territory,443.0
Gombe,430.0
Imo,463.0
Jigawa,52.0
Kaduna,4666.0
Kano,434.0
Katsina,1767.0
Kebbi,203.0
Kofia,4.0
Kogi,613.0
Koza,3.0
Kwara,228.0
Lac,493.0
Lagos,748.0
Maradi,51.0
Mayo Moskota,5.0
Mbreche,4.0
N'Djamena,54.0
Nasarawa,876.0
Nassarawa,195.0
Ngouboua,17.0
Niger,1786.0
Nord-Ouest,20.0
Ogun,528.0
Ondo,328.0
Osun,167.0
Oyo,292.0
Plateau,2291.0
Rivers,1226.0
Sagme,7.0
Sokoto,781.0
Tahoua,38.0
Taraba,1762.0
Tillabéri,45.0
Yobe,2371.0
Zamfara,5343.0
imo,17.0
kogi,0.0
lac,1057.0
