Food Item,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-31,Apr-30,May-31,June-30
Agric eggs medium size,₦512.99,₦520.16,₦507.69,₦518.66,₦522.71,₦514.66,₦498.50,₦485.19,₦487.51,₦472.85,₦463.11,₦494.43,₦437.13,₦519.07,₦527.32,₦552.09,₦548.66,₦539.75,₦471.75,₦474.13,₦472.73,₦482.90,₦477.76,₦466.97,₦469.86,₦464.27,₦459.81,₦467.18,₦464.87,₦495.33,₦468.31,₦461.89,₦456.81,₦462.46,₦463.91,₦457.80,₦454.17,₦448.26,₦461.15,₦476.72,₦462.46,₦472.83,₦474.12,₦478.97,₦480.76,₦487.81,₦494.72,₦499.55,₦510.84,₦518.30,₦524.47,₦530.40,₦541.53,₦556.47,₦577.55,₦585.64,₦604.99,₦614.89,₦629.82,₦635.16,₦644.33,₦654.90,₦668.96,₦678.91,₦689.61,₦704.19
Agric eggs(medium size price of one),₦47.42,₦42.90,₦43.93,₦46.22,₦45.73,₦45.28,₦44.32,₦42.92,₦45.72,₦42.06,₦40.82,₦41.32,₦38.85,₦41.27,₦41.21,₦42.25,₦41.77,₦41.38,₦41.22,₦41.79,₦41.17,₦41.73,₦42.40,₦42.58,₦42.18,₦42.23,₦41.92,₦41.95,₦42.82,₦39.31,₦38.38,₦40.57,₦41.30,₦40.51,₦41.18,₦40.72,₦40.17,₦39.29,₦39.90,₦41.54,₦40.84,₦42.18,₦42.45,₦42.78,₦42.90,₦43.72,₦44.75,₦45.40,₦46.21,₦47.35,₦48.43,₦49.14,₦49.99,₦51.22,₦52.73,₦53.20,₦54.62,₦55.49,₦57.35,₦57.82,₦58.28,₦59.82,₦61.58,₦64.00,₦65.65,₦68.56
"Beans brown,sold loose",₦353.60,₦337.11,₦353.28,₦357.19,₦365.86,₦374.26,₦382.35,₦370.25,₦404.84,₦382.58,₦369.78,₦361.97,₦385.53,₦387.48,₦395.34,₦395.19,₦407.73,₦418.78,₦411.02,₦410.16,₦416.07,₦411.05,₦396.73,₦386.78,₦382.76,₦373.91,₦368.07,₦372.84,₦365.32,₦342.82,₦327.18,₦307.27,₦318.99,₦308.93,₦307.30,₦299.48,₦285.61,₦276.30,₦267.81,₦277.05,₦277.49,₦289.89,₦300.26,₦305.43,₦312.66,₦326.88,₦334.66,₦336.24,₦337.09,₦351.68,₦368.98,₦378.82,₦439.22,₦471.24,₦485.44,₦496.03,₦492.13,₦478.76,₦490.19,₦494.83,₦498.85,₦509.65,₦530.10,₦530.62,₦536.91,₦551.40
Beans:white black eye. sold loose,₦305.53,₦309.85,₦318.45,₦324.04,₦332.28,₦339.64,₦343.96,₦335.71,₦358.13,₦342.05,₦337.09,₦314.93,₦344.52,₦348.55,₦357.04,₦355.32,₦367.23,₦369.43,₦361.33,₦361.68,₦362.71,₦354.22,₦346.41,₦344.72,₦336.72,₦338.05,₦330.76,₦329.45,₦329.66,₦311.40,₦289.78,₦273.71,₦285.74,₦292.00,₦284.65,₦281.60,₦268.80,₦255.25,₦241.74,₦250.33,₦251.43,₦259.39,₦268.38,₦274.80,₦284.87,₦300.37,₦308.36,₦309.07,₦316.92,₦331.48,₦346.38,₦359.64,₦407.23,₦431.79,₦444.21,₦457.98,₦461.59,₦464.74,₦476.76,₦480.79,₦481.47,₦497.54,₦505.94,₦519.05,₦524.70,₦536.17
Beef Bone in,"₦1,001.24",₦995.65,"₦1,010.29","₦1,035.45","₦1,123.65","₦1,129.02","₦1,128.94","₦1,151.38","₦1,078.49","₦1,081.30","₦1,065.59","₦1,067.73","₦1,045.55","₦1,017.28","₦1,024.64",₦980.26,"₦1,011.11","₦1,034.57","₦1,028.12","₦1,061.78","₦1,027.66","₦1,003.35",₦998.67,₦997.73,₦994.20,₦980.54,₦980.12,"₦1,025.26","₦1,023.39","₦1,003.20","₦1,009.69","₦1,007.39","₦1,021.84","₦1,025.69","₦1,026.24","₦1,045.86","₦1,031.53","₦1,035.38","₦1,025.48","₦1,047.12","₦1,053.47","₦1,069.85","₦1,075.68","₦1,064.27","₦1,070.44","₦1,083.35","₦1,081.17","₦1,083.14","₦1,091.82","₦1,113.39","₦1,130.80","₦1,145.32","₦1,173.05","₦1,220.33","₦1,262.10","₦1,274.20","₦1,320.73","₦1,339.77","₦1,366.24","₦1,385.96","₦1,415.77","₦1,440.70","₦1,496.47","₦1,508.08","₦1,522.75","₦1,570.79"
"Beef,boneless","₦1,249.48","₦1,270.67","₦1,281.71","₦1,323.10","₦1,378.91","₦1,393.42","₦1,376.91","₦1,276.85","₦1,324.93","₦1,312.73","₦1,286.86","₦1,236.44","₦1,298.70","₦1,274.71","₦1,262.51","₦1,257.73","₦1,275.77","₦1,271.54","₦1,262.73","₦1,281.02","₦1,281.64","₦1,260.59","₦1,251.45","₦1,270.81","₦1,273.99","₦1,254.99","₦1,253.48","₦1,271.10","₦1,268.95","₦1,240.44","₦1,246.78","₦1,244.23","₦1,257.58","₦1,281.59","₦1,293.00","₦1,292.52","₦1,289.80","₦1,279.60","₦1,276.10","₦1,307.68","₦1,306.47","₦1,317.04","₦1,330.83","₦1,339.74","₦1,351.66","₦1,380.14","₦1,393.77","₦1,405.72","₦1,421.14","₦1,435.87","₦1,456.03","₦1,481.24","₦1,513.43","₦1,567.26","₦1,660.76","₦1,698.18","₦1,768.14","₦1,768.78","₦1,812.03","₦1,846.39","₦1,864.70","₦1,919.52","₦1,955.90","₦2,026.85","₦2,029.59","₦2,079.93"
Bread sliced 500g,₦302.87,₦299.75,₦297.51,₦296.63,₦307.70,₦320.58,₦314.47,₦304.20,₦310.62,₦305.88,₦298.96,₦290.05,₦313.43,₦314.17,₦305.88,₦306.54,₦305.98,₦308.00,₦305.25,₦307.97,₦303.84,₦299.19,₦305.48,₦296.91,₦300.61,₦299.11,₦299.98,₦297.87,₦297.28,₦292.73,₦293.49,₦301.36,₦302.59,₦296.56,₦299.59,₦304.06,₦302.45,₦303.06,₦304.60,₦316.55,₦315.00,₦320.10,₦318.56,₦312.74,₦318.11,₦322.61,₦328.52,₦327.17,₦327.96,₦326.61,₦332.30,₦332.95,₦337.83,₦355.78,₦361.11,₦366.69,₦384.73,₦382.77,₦404.20,₦407.97,₦418.65,₦438.03,₦447.80,₦450.51,₦456.79,₦472.47
Bread unsliced 500g,₦270.25,₦264.86,₦262.33,₦277.69,₦282.26,₦286.78,₦285.55,₦258.70,₦286.33,₦280.34,₦274.32,₦268.23,₦282.12,₦284.36,₦278.61,₦278.61,₦278.11,₦275.60,₦272.71,₦278.27,₦278.57,₦272.91,₦277.87,₦271.14,₦272.97,₦271.74,₦273.14,₦271.49,₦272.09,₦274.49,₦271.02,₦275.40,₦275.89,₦278.66,₦280.51,₦277.79,₦276.26,₦275.20,₦278.79,₦288.45,₦285.17,₦284.51,₦287.74,₦283.97,₦291.04,₦298.73,₦307.01,₦304.51,₦306.74,₦308.07,₦310.19,₦306.16,₦310.81,₦324.03,₦335.67,₦342.78,₦351.95,₦359.60,₦366.46,₦372.06,₦383.51,₦400.83,₦411.73,₦412.25,₦421.64,₦434.50
Broken Rice (Ofada),₦377.41,₦392.04,₦421.54,₦425.53,₦460.10,₦472.29,₦473.40,₦415.34,₦431.59,₦416.18,₦417.24,₦319.86,₦413.19,₦405.69,₦399.47,₦400.94,₦405.03,₦404.43,₦403.56,₦397.29,₦384.49,₦370.21,₦385.61,₦381.64,₦382.15,₦385.81,₦382.45,₦381.13,₦377.77,₦373.49,₦367.44,₦366.22,₦370.30,₦371.89,₦396.86,₦406.94,₦409.31,₦404.32,₦390.54,₦408.05,₦405.58,₦420.31,₦426.36,₦429.81,₦442.77,₦452.21,₦462.55,₦467.64,₦465.64,₦462.42,₦466.30,₦472.19,₦470.16,₦472.07,₦477.08,₦477.39,₦473.75,₦475.54,₦480.65,₦480.23,₦486.70,₦496.57,₦505.01,₦513.50,₦515.04,₦527.73
Catfish (dried),"₦2,204.12","₦2,150.18","₦2,189.55","₦2,189.10","₦2,213.66","₦2,255.24","₦2,215.25","₦2,176.82","₦2,159.00","₦2,083.74","₦2,214.33","₦2,146.61","₦1,852.92","₦1,857.25","₦1,793.58","₦1,753.53","₦1,779.71","₦1,770.53","₦1,792.12","₦1,807.11","₦1,766.55","₦2,362.28","₦1,814.97","₦1,808.55","₦1,814.67","₦1,799.35","₦1,791.90","₦1,763.61","₦1,766.55","₦1,727.36","₦1,700.51","₦1,712.11","₦1,709.80","₦1,697.55","₦1,723.23","₦1,732.45","₦1,720.55","₦1,713.30","₦1,711.32","₦1,724.52","₦1,709.24","₦1,722.18","₦1,677.22","₦1,711.18","₦1,718.53","₦1,728.81","₦1,725.47","₦1,728.47","₦1,726.21","₦1,728.66","₦1,723.52","₦1,735.54","₦1,755.26","₦1,773.60","₦1,837.44","₦1,868.95","₦1,879.83","₦1,892.34","₦1,946.38","₦1,973.64","₦2,055.60","₦2,050.31","₦2,090.01","₦2,117.29","₦2,221.63","₦2,156.64"
