,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,Food Item,Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Catfish (dried),Catfish (obokun) fresh,Catfish (Smoked),Chicken Feet,Chicken Wings,Dried Fish Sardine,Evaporated tinned milk carnation 170g,Evaporated tinned milk(peak) 170g,Frozen chicken,"Gaari white, sold loose","Gaari yellow, sold loose","Groundnut oil, 1 bottle",Iced Sardine,Irish potato,Mackerel : frozen,"Maize grain white,  sold loose","Maize grain yellow, sold loose",Mudfish (aro) fresh,Mudfish (dried),Onion bulb,Palm oil: 1 bottle,Plantain (ripe),Plantain (unripe),"Rice agric, sold loose","Rice local (ofada), sold loose",Rice Medium Grained,"Rice (imported high quality),  sold loose",Sweet potato,Tilapia fish (epiya) fresh,Titus (frozen),Tomato,Vegetable oil:1 bottle,Wheat flour: prepacked (golden penny 2kg),Yam tuber
1,Jan-17,₦512.99,₦47.42,₦353.60,₦305.53,"₦1,001.24","₦1,249.48",₦302.87,₦270.25,₦377.41,"₦2,204.12",₦899.58,₦817.09,₦765.28,₦919.09,₦959.11,₦136.29,₦157.75,"₦1,419.75",₦219.56,₦255.83,₦477.86,"₦1,879.96",₦300.95,₦759.01,₦167.11,₦168.77,₦994.37,"₦1,812.03",₦258.92,₦420.62,₦234.25,₦212.49,₦324.01,₦286.19,₦312.08,₦402.01,₦129.43,₦792.18,₦884.82,₦247.55,₦495.29,₦626.53,₦210.58
2,Feb-17,₦520.16,₦42.90,₦337.11,₦309.85,₦995.65,"₦1,270.67",₦299.75,₦264.86,₦392.04,"₦2,150.18",₦885.13,₦825.35,₦785.42,₦963.46,₦935.51,₦140.53,₦166.14,"₦1,428.95",₦260.94,₦250.45,₦482.94,"₦1,915.68",₦307.29,₦764.62,₦172.86,₦174.72,₦998.71,"₦1,955.10",₦241.44,₦434.81,₦234.28,₦214.41,₦355.41,₦306.29,₦352.69,₦410.58,₦127.23,₦795.27,₦942.23,₦236.62,₦507.36,₦621.39,₦215.55
3,Mar-17,₦507.69,₦43.93,₦353.28,₦318.45,"₦1,010.29","₦1,281.71",₦297.51,₦262.33,₦421.54,"₦2,189.55",₦884.15,₦834.26,₦907.51,₦980.88,₦958.67,₦143.56,₦177.05,"₦1,555.51",₦273.67,₦302.05,₦494.10,"₦1,902.15",₦311.81,₦774.89,₦174.03,₦178.79,"₦1,079.16","₦2,084.81",₦246.95,₦442.04,₦236.65,₦215.80,₦360.89,₦308.87,₦377.99,₦418.71,₦132.94,₦798.07,₦964.63,₦268.64,₦513.42,₦623.10,₦255.86
4,Apr-17,₦518.66,₦46.22,₦357.19,₦324.04,"₦1,035.45","₦1,323.10",₦296.63,₦277.69,₦425.53,"₦2,189.10",₦886.65,₦837.09,₦768.11,₦886.58,₦972.73,₦151.47,₦197.15,"₦1,606.63",₦288.45,₦320.92,₦494.24,"₦1,927.97",₦318.88,₦778.15,₦182.94,₦185.61,"₦1,008.95","₦2,319.91",₦205.60,₦452.42,₦240.71,₦221.79,₦324.76,₦299.30,₦332.81,₦388.46,₦132.43,₦800.77,₦935.00,₦285.72,₦525.72,₦627.33,₦250.30
5,May-17,₦522.71,₦45.73,₦365.86,₦332.28,"₦1,123.65","₦1,378.91",₦307.70,₦282.26,₦460.10,"₦2,213.66",₦900.73,₦845.91,₦819.59,₦925.55,₦991.64,₦157.95,₦198.42,"₦1,605.97",₦292.97,₦326.83,₦500.19,"₦1,919.64",₦315.86,₦785.37,₦188.90,₦190.59,"₦1,047.28","₦2,388.05",₦203.56,₦458.24,₦241.48,₦224.65,₦347.73,₦323.82,₦350.36,₦410.55,₦130.28,₦805.21,₦969.64,₦339.72,₦524.77,₦646.18,₦279.15
6,Jun-17,₦514.66,₦45.28,₦374.26,₦339.64,"₦1,129.02","₦1,393.42",₦320.58,₦286.78,₦472.29,"₦2,255.24",₦916.55,₦848.41,₦832.79,₦952.18,₦989.49,₦162.80,₦194.67,"₦1,645.29",₦315.61,₦354.55,₦503.28,"₦1,916.19",₦319.30,₦794.64,₦190.33,₦191.36,"₦1,071.13","₦2,416.28",₦214.79,₦471.28,₦249.71,₦228.46,₦352.09,₦325.51,₦348.23,₦415.84,₦135.77,₦817.62,"₦1,012.18",₦375.00,₦546.29,₦632.09,₦292.06
7,Jul-17,₦498.50,₦44.32,₦382.35,₦343.96,"₦1,128.94","₦1,376.91",₦314.47,₦285.55,₦473.40,"₦2,215.25",₦910.57,₦853.18,₦832.66,₦958.05,₦968.76,₦162.72,₦195.94,"₦1,623.84",₦317.10,₦350.46,₦505.12,"₦1,915.25",₦311.40,₦795.82,₦191.33,₦193.02,"₦1,080.33","₦2,395.79",₦213.14,₦478.75,₦251.27,₦223.47,₦354.08,₦323.25,₦344.40,₦409.20,₦137.96,₦823.34,"₦1,014.54",₦394.13,₦552.91,₦630.47,₦294.12
8,Aug-17,₦485.19,₦42.92,₦370.25,₦335.71,"₦1,151.38","₦1,276.85",₦304.20,₦258.70,₦415.34,"₦2,176.82",₦921.17,₦852.93,₦834.74,₦946.93,₦972.65,₦158.85,₦190.53,"₦1,529.25",₦310.15,₦345.82,₦508.33,"₦1,904.67",₦310.48,₦797.77,₦192.44,₦193.43,₦998.57,"₦2,161.70",₦236.66,₦492.90,₦254.02,₦226.26,₦349.64,₦320.19,₦313.45,₦384.35,₦138.56,₦820.29,₦998.01,₦431.30,₦559.01,₦647.29,₦343.39
9,Sep-17,₦487.51,₦45.72,₦404.84,₦358.13,"₦1,078.49","₦1,324.93",₦310.62,₦286.33,₦431.59,"₦2,159.00",₦894.52,₦839.49,₦817.19,₦979.32,₦947.60,₦174.36,₦206.00,"₦1,570.26",₦301.99,₦335.94,₦477.97,"₦1,878.46",₦307.46,₦785.57,₦168.12,₦168.19,"₦1,069.92","₦2,204.04",₦238.29,₦439.88,₦231.70,₦215.96,₦351.09,₦316.40,₦339.47,₦398.01,₦139.00,₦795.64,₦973.99,₦322.39,₦505.51,₦627.00,₦259.51
