Items,Monthly increase,Yearly increase
Agric egg (medium size price of one),3.61,34.72
"Evaporated tinned milk(peak), 170g",3.38,31.65
Bread sliced 500g,2.92,34.66
Bread unsliced 500g,2.91,33.21
Evaporated tinned milk carnation 170g,2.66,26.00
Irish potato,2.60,27.85
Plantain(ripe),2.54,12.88
Mackerel : frozen,2.47,24.49
Agric eggs medium size,2.45,24.92
"Vegetable oil:1 bottle,specify bottle",2.29,40.88
"Palm oil: 1 bottle,specify bottle",2.27,40.19
"Rice,imported high quality sold loose",2.17,17.59
Beans:white black eye. sold loose,2.09,23.22
Plantain(unripe),2.08,11.34
Titus:frozen,2.06,23.36
"Beans brown,sold loose",2.02,15.89
Tomato,1.94,7.71
"Beef,boneless",1.87,27.58
Iced Sardine,1.85,22.38
Rice Medium Grained,1.65,14.12
Chicken Feet,1.62,20.55
Dried Fish Sardine,1.62,14.75
Broken Rice (Ofada),1.54,12.32
"Groundnut oil: 1 bottle, specify bottle",1.44,40.24
Frozen chicken,1.42,21.43
Yam tuber,1.37,26.25
Chicken Wings,1.23,21.13
Beef Bone in,1.17,25.92
Sweet potato,1.13,25.45
Onion bulb,0.92,23.25
Catfish (obokun) fresh,0.89,21.51
Catfish :dried,0.86,18.38
Wheat flour: prepacked (golden penny 2kg),0.70,31.80
Mudfish : dried,0.63,15.69
Tilapia fish (epiya) fresh,0.42,17.40
Catfish Smoked,0.41,12.36
Mudfish (aro) fresh,-0.65,15.98
Maize grain yellow sold loose,-1.39,12.81
"Gari yellow,sold loose",-2.31,-0.56
Rice agric sold loose,-2.55,7.50
"Gari white,sold loose",-2.82,-1.83
Maize grain white sold loose,-2.87,14.22
Rice local sold loose,-4.27,13.55
