state,total_deaths
Abia,1
Abia,0
Abia,0
Abia,1
Abia,0
Abia,0
Abia,0
Abia,0
Abia,0
Abia,0
Abia,0
Abia,1
Abia,1
Abia,2
Abia,1
Abia,0
Abia,4
Abia,0
Abia,1
Abia,8
Abia,1
Abia,0
Abia,2
Abia,3
Abia,2
Abia,2
Abia,0
Abia,1
Abia,0
Abia,1
Abia,4
Abia,1
Abia,1
Abia,2
Abia,1
Abia,1
Abia,0
Abia,0
Abia,7
Abia,0
Abia,18
Abia,4
Abia,1
Abia,0
Abia,1
Abia,10
Abia,0
Abia,6
Abia,3
Abia,1
Abia,10
Abia,0
Abia,0
Abia,0
Abia,0
Abia,1
Abia,1
Abia,0
Abia,1
Abia,1
Abia,1
Abia,1
Abia,0
Abia,2
Abia,0
Abia,1
Abia,1
Abia,3
Abia,1
Abia,2
Abia,2
Abia,1
Abia,1
Abia,1
Abia,1
Abia,1
Abia,0
Abia,0
Abia,0
Abia,2
Abia,0
Abia,1
Abia,1
Abia,5
Abia,1
Abia,3
Abia,2
Abia,0
Abia,0
Abia,0
Abia,0
Abia,1
Abia,1
Abia,1
Abia,4
Abia,1
Abia,0
Abia,6
Abia,0
Abia,3
Abia,16
Abia,0
Abia,1
Abia,0
Abia,0
Abia,0
Abia,0
Abia,0
Abia,0
Abia,0
Abia,2
Abia,2
Abia,10
Abia,14
Abia,1
Abia,1
Abia,0
Abia,1
Abia,0
Abia,0
Abia,1
Abia,0
Abia,5
Abia,1
Abia,0
Abia,0
Abia,1
Abia,3
Abia,1
Abia,0
Abia,2
Abia,0
Adamawa,2
Adamawa,2
Adamawa,6
Adamawa,3
Adamawa,6
Adamawa,7
Adamawa,22
Adamawa,45
Adamawa,11
Adamawa,6
Adamawa,9
Adamawa,65
Adamawa,11
Adamawa,4
Adamawa,8
Adamawa,25
Adamawa,13
Adamawa,4
Adamawa,4
Adamawa,70
Adamawa,0
Adamawa,60
Adamawa,5
Adamawa,10
Adamawa,2
Adamawa,0
Adamawa,3
Adamawa,6
Adamawa,6
Adamawa,40
Adamawa,0
Adamawa,0
Adamawa,40
Adamawa,30
Adamawa,24
Adamawa,100
Adamawa,1
Adamawa,40
Adamawa,200
Adamawa,270
Adamawa,0
Adamawa,0
Adamawa,24
Adamawa,2
Adamawa,1
Adamawa,0
Adamawa,0
Adamawa,80
Adamawa,20
Adamawa,0
Adamawa,0
Adamawa,0
Adamawa,24
Adamawa,410
Adamawa,10
Adamawa,40
Adamawa,7
Adamawa,10
Adamawa,2
Adamawa,1
Adamawa,6
Adamawa,3
Adamawa,7
Adamawa,0
Adamawa,30
Adamawa,10
Adamawa,13
Adamawa,1
Adamawa,10
Adamawa,1
Adamawa,7
Adamawa,0
Adamawa,11
Adamawa,10
Adamawa,10
Adamawa,0
Adamawa,45
Adamawa,8
Adamawa,100
Adamawa,10
Adamawa,5
Adamawa,0
Adamawa,11
Adamawa,14
Adamawa,30
Adamawa,150
Adamawa,50
Adamawa,4
Adamawa,34
Adamawa,21
Adamawa,30
Adamawa,3
Adamawa,7
Adamawa,30
Adamawa,18
Adamawa,6
Adamawa,7
Adamawa,0
Adamawa,24
Adamawa,8
Adamawa,3
Adamawa,22
Adamawa,1
Adamawa,7
Adamawa,1
Adamawa,58
Adamawa,0
Adamawa,3
Adamawa,45
Adamawa,11
Adamawa,3
Adamawa,5
Adamawa,2
Adamawa,0
Adamawa,8
Adamawa,1
Adamawa,40
Adamawa,20
Adamawa,2
Adamawa,1
Adamawa,2
Adamawa,6
Adamawa,2
Adamawa,4
Adamawa,45
Adamawa,0
Adamawa,45
Adamawa,60
Adamawa,7
Adamawa,5
Adamawa,6
Adamawa,2
Adamawa,4
Adamawa,3
Adamawa,5
Adamawa,5
Adamawa,6
Adamawa,9
Adamawa,1
Adamawa,2
Adamawa,10
Adamawa,1
Adamawa,6
Adamawa,30
Adamawa,1
Adamawa,6
Adamawa,86
Adamawa,15
Adamawa,8
Adamawa,10
Adamawa,6
Adamawa,1
Adamawa,1
Adamawa,21
Adamawa,2
Adamawa,5
Adamawa,50
Adamawa,5
Adamawa,0
Adamawa,3
Adamawa,1
Adamawa,0
Adamawa,51
Adamawa,5
Adamawa,24
Adamawa,0
Adamawa,1
Adamawa,0
Adamawa,6
Adamawa,5
Adamawa,13
Adamawa,3
Adamawa,0
Adamawa,3
Adamawa,1
Adamawa,2
Adamawa,3
Adamawa,25
Adamawa,0
Adamawa,6
Adamawa,40
Adamawa,0
Adamawa,4
Adamawa,11
Adamawa,30
Adamawa,6
Adamawa,0
Adamawa,5
Adamawa,0
Adamawa,4
Adamawa,0
Adamawa,1
Adamawa,1
Adamawa,0
Adamawa,3
Adamawa,1
Adamawa,3
Adamawa,0
Adamawa,0
Adamawa,6
Adamawa,5
Adamawa,0
Adamawa,20
Adamawa,2
Adamawa,2
Adamawa,0
Adamawa,0
Adamawa,0
Adamawa,0
Adamawa,0
Adamawa,4
Adamawa,6
Adamawa,0
Adamawa,0
Adamawa,4
Adamawa,1
Adamawa,1
Adamawa,1
Adamawa,2
Adamawa,3
Adamawa,0
Adamawa,0
Adamawa,0
Adamawa,1
Adamawa,2
Adamawa,1
Adamawa,2
Adamawa,10
Adamawa,2
Adamawa,3
Adamawa,2
Adamawa,48
Adamawa,0
Adamawa,1
Adamawa,1
Adamawa,23
Adamawa,0
Adamawa,0
Adamawa,1
Adamawa,0
Adamawa,0
Adamawa,1
Adamawa,0
Adamawa,2
Adamawa,0
Adamawa,8
Adamawa,0
Adamawa,0
Adamawa,2
Adamawa,1
Adamawa,7
Adamawa,13
Adamawa,1
Adamawa,0
Adamawa,1
Adamawa,1
Adamawa,24
Adamawa,7
Adamawa,1
Adamawa,7
Adamawa,0
Adamawa,7
Adamawa,1
Adamawa,2
Adamawa,0
Adamawa,6
Adamawa,0
Adamawa,0
Adamawa,2
Akwa Ibom,4
Akwa Ibom,6
Akwa Ibom,4
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,4
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,5
Akwa Ibom,0
Akwa Ibom,4
Akwa Ibom,2
Akwa Ibom,3
Akwa Ibom,4
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,5
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,2
Akwa Ibom,20
Akwa Ibom,6
Akwa Ibom,5
Akwa Ibom,8
Akwa Ibom,50
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,4
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,6
Akwa Ibom,5
Akwa Ibom,4
Akwa Ibom,1
Akwa Ibom,3
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,4
Akwa Ibom,0
Akwa Ibom,4
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,3
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,6
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,4
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,3
Akwa Ibom,0
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,5
Akwa Ibom,4
Akwa Ibom,1
Akwa Ibom,4
Akwa Ibom,7
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,3
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,2
Akwa Ibom,3
Akwa Ibom,2
Akwa Ibom,2
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,6
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,7
Akwa Ibom,3
Akwa Ibom,2
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,2
Akwa Ibom,6
Akwa Ibom,1
Akwa Ibom,4
Akwa Ibom,7
Akwa Ibom,10
Akwa Ibom,4
Akwa Ibom,6
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,6
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,8
Akwa Ibom,8
Akwa Ibom,1
Akwa Ibom,1
Akwa Ibom,3
Akwa Ibom,1
Akwa Ibom,0
Akwa Ibom,4
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,0
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,4
Akwa Ibom,2
Akwa Ibom,0
Akwa Ibom,1
Akwa Ibom,2
Akwa Ibom,1
Akwa Ibom,3
Akwa Ibom,1
Anambra,0
Anambra,1
Anambra,1
Anambra,0
Anambra,0
Anambra,0
Anambra,0
Anambra,4
Anambra,4
Anambra,0
Anambra,0
Anambra,2
Anambra,0
Anambra,3
Anambra,0
Anambra,2
Anambra,2
Anambra,4
Anambra,3
Anambra,0
Anambra,2
Anambra,11
Anambra,28
Anambra,0
Anambra,0
Anambra,0
Anambra,1
Anambra,0
Anambra,3
Anambra,1
Anambra,0
Anambra,0
Anambra,1
Anambra,0
Anambra,1
Anambra,1
Anambra,2
Anambra,0
Anambra,0
Anambra,1
Anambra,1
Anambra,1
Anambra,15
Anambra,2
Anambra,1
Anambra,1
Anambra,0
Anambra,2
Anambra,1
Anambra,1
Anambra,5
Anambra,5
Anambra,0
Anambra,0
Anambra,2
Anambra,1
Anambra,0
Anambra,3
Anambra,0
Anambra,0
Anambra,6
Anambra,0
Anambra,1
Anambra,0
Anambra,0
Anambra,0
Anambra,0
Anambra,0
Anambra,0
Anambra,2
Anambra,6
Anambra,6
Anambra,1
Anambra,1
Anambra,1
Anambra,0
Anambra,2
Anambra,0
Anambra,5
Anambra,1
Anambra,3
Anambra,1
Anambra,5
Anambra,0
Anambra,2
Anambra,2
Anambra,12
Anambra,3
Anambra,2
Anambra,0
Anambra,3
Anambra,0
Anambra,2
Anambra,4
Anambra,0
Anambra,1
Anambra,10
Anambra,0
Anambra,1
Anambra,3
Anambra,1
Anambra,1
Anambra,2
Anambra,0
Anambra,1
Anambra,2
Anambra,1
Anambra,4
Anambra,1
Anambra,0
Anambra,1
Anambra,3
Anambra,2
Anambra,0
Anambra,0
Anambra,2
Anambra,2
Anambra,1
Anambra,1
Anambra,2
Anambra,0
Anambra,2
Anambra,3
Anambra,3
Anambra,6
Anambra,4
Anambra,0
Anambra,1
Anambra,0
Anambra,4
Anambra,3
Anambra,2
Anambra,4
Anambra,0
Anambra,1
Anambra,2
Anambra,1
Anambra,2
Anambra,3
Anambra,0
Anambra,3
Anambra,0
Anambra,5
Anambra,4
Anambra,19
Anambra,0
Anambra,2
Anambra,2
Anambra,2
Anambra,2
Anambra,5
Anambra,1
Anambra,3
Anambra,2
Anambra,4
Anambra,5
Anambra,0
Anambra,2
Anambra,1
Anambra,6
Anambra,5
Anambra,10
Anambra,2
Anambra,6
Anambra,6
Anambra,1
Anambra,2
Anambra,2
Anambra,3
Anambra,2
Anambra,1
Anambra,3
Anambra,3
Anambra,3
Anambra,6
Anambra,1
Anambra,3
Anambra,3
Anambra,4
Anambra,7
Anambra,4
Anambra,4
Anambra,6
Anambra,0
Anambra,0
Anambra,0
Anambra,2
Anambra,0
Anambra,1
Anambra,2
Anambra,2
Anambra,3
Anambra,3
Anambra,2
Anambra,4
