Food Item,Description,Lowest,Highest
Agric eggs medium size,dozen,Borno (₦501.43),Rivers (₦910)
Agric egg medium size,one,Adamawa (₦60),Delta (₦82.33)
Beans brown,1kg,Borno (₦325.47),Ebonyi (₦926.58)
Beans: white black eye,1kg,Borno (₦317.73),Ebonyi (₦900.51)
"Beef, bone in",1kg,Taraba (₦1202.4),Abuja (₦1972.59)
"Beef,boneless",1kg,Taraba (₦1500),Edo (₦2710.43)
Bread sliced 500g,1 loaf,Plateau (₦296.25),Abia (₦672.03)
Bread unsliced 500g,1 loaf,Akwa_Ibom (₦275),Abuja (₦726.67)
Broken Rice (Ofada),1kg sold loose,Nassarawa (₦368.69),Lagos (₦881.21)
Catfish (obokun) fresh,1kg,Taraba (₦715.89),Imo (₦2600.55)
Catfish (obukun) dried,,Adamawa (₦1337.78),Ebonyi (₦4082.79)
Catfish (obukun) smoked,,Nassarawa (₦1398.52),Abia (₦2590.91)
Chicken Feet,1kg,Gombe (₦350.14),Enugu (₦1740)
Chicken Wings,1kg,Gombe (₦550.21),Edo (₦2360)
Dried Fish Sardine,,Ondo (₦1230.19),Enugu (₦2901.29)
Evaporated tinned milk carnation ,170g,Anambra (₦126.77),Ebonyi (₦305.22)
Evaporated tinned milk (peak),170g,Gombe (₦210.3),Enugu (₦349.59)
Frozen chicken,1kg,Gombe (₦1505.32),Enugu (₦3837.33)
Gaari white,!kg sold loose,Adamawa (₦243.28),Kaduna (₦406.48)
"Gaari yellow,",1kg sold loose,Cross_River (₦259.56),Lagos (₦502.39)
Groundnut oil,1 bottle,Taraba (₦581.02),Anambra (₦1735.93)
Iced Sardine,1kg,Taraba (₦1062.95),Edo (₦2399.22)
Irish potato,1kg,Kogi (₦190.91),Ebonyi (₦988.33)
Mackerel : frozen,1kg,Bauchi (₦1011.15),Abia (₦2375.34)
Maize grain white ,1kg sold loose,Adamawa (₦200.96),Lagos (₦502.91)
Maize grain yellow ,1kg sold loose,Adamawa (₦201.9),Bayelsa (₦490.61)
Mudfish (aro) fresh,1kg,Adamawa (₦725.44),Abuja (₦2216.85)
Mudfish (aro) dried,1kg,Adamawa (₦1277.78),Abia (₦3541.67)
Onion bulb,1kg ,Bauchi (₦150.53),Cross_River (₦886.9)
Palm oil,1 bottle,Kwara (₦526.19),Imo (₦1205.8)
Plantain (ripe),1 bunch,Bauchi (₦183.33),Imo (₦575.17)
Plantain (unripe),1 bunch,Gombe (₦192.48),Imo (₦495.75)
Rice agric ,1kg sold loose,Yobe (₦415.44),Akwa_Ibom (₦784)
Rice local ,1kg sold loose,Jigawa (₦363.34),Rivers (₦619.62)
Rice Medium Grained,1kg sold loose,Adamawa (₦390.59),Rivers (₦750.49)
"Rice, imported high quality",1kg sold loose,Taraba (₦500),Rivers (₦855.84)
Sweet potato,1kg,Bauchi (₦151.4),Akwa_Ibom (₦380.43)
Tilapia fish (epiya) fresh,1kg,Bauchi (₦410.2),Abuja (₦2355.73)
Titus (frozen),1kg,Gombe (₦1011.15),Rivers (₦2592.95)
Tomato,1kg ,Taraba (₦159.14),Edo (₦799.16)
Vegetable oil,1 bottle,Bauchi (₦605.32),Abia (₦1457.78)
Wheat flour,Prepacked (golden penny 2kg),Yobe (₦800.9),Abia (₦1400)
Yam tuber,1kg,Taraba (₦145.75),Akwa_Ibom (₦810.17)
