,0,1,2,3,4,5
Geopolitical Zones,NORTH CENTRAL,NORTH EAST,NORTH WEST,SOUTH EAST,SOUTH SOUTH,SOUTH WEST
"Beans brown,sold loose",386.1840411,379.0323035,487.9978871,853.1927586,579.927014,598.0036126
Beef (boneless),1524.440217,1576.95147,1945.430477,2579.403467,2115.790993,2084.20833
Bread sliced 500g,332.4028314,326.6637037,440.2701763,645.9435902,505.5209314,502.2926772
Gaari white (sold loose),272.9531667,270.6920883,521.499012,390.268378,285.6521444,296.5013584
Onion bulb,207.0223462,188.1759649,510.140152,536.0682546,601.0026235,441.9778229
Palm oil: 1 bottle (specify bottle),572.4250284,606.1546032,1065.537336,1094.023935,850.4868658,1014.104108
Rice local (sold loose),401.7234927,419.7734734,796.0259923,467.8275394,463.0285133,519.6446083
Tomato,227.3305247,194.7206519,656.9394016,678.8038337,609.7815379,496.2086505
Wheat flour: prepacked (golden penny 2kg),819.4621459,838.4580111,1129.354545,1342.914286,1057.081982,1155.383191
Yam tuber,191.8493924,168.1551907,543.979936,479.0973747,468.6454505,538.0165566
